Problem Name,Problem ID,Tags,Time Limit,Memory Limit,Description
Not a Nim Problem,2004E,"brute force, games, math, number theory",time limit per test,memory limit per test,E. Not a Nim Problemtime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Colored Portals,2004D,"binary search, brute force, data structures, graphs, greedy, implementation, shortest paths",time limit per test,memory limit per test,D. Colored Portalstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Splitting Items,2004C,"games, greedy, sortings",time limit per test,memory limit per test,C. Splitting Itemstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Game with Doors,2004B,"brute force, greedy",time limit per test,memory limit per test,B. Game with Doorstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Closest Point,2004A,"implementation, math",time limit per test,memory limit per test,A. Closest Pointtime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Turtle and Three Sequences,2003F,"brute force, data structures, dp, greedy, math, probabilities, two pointers",time limit per test,memory limit per test,F. Turtle and Three Sequencestime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Turtle and Inversions (Hard Version),2003E2,"brute force, data structures, divide and conquer, dp, greedy, math, two pointers",time limit per test,memory limit per test,E2. Turtle and Inversions (Hard Version)time limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Turtle and Inversions (Easy Version),2003E1,"brute force, divide and conquer, dp, greedy, math",time limit per test,memory limit per test,E1. Turtle and Inversions (Easy Version)time limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Turtle and a MEX Problem (Hard Version),2003D2,"dfs and similar, dp, graphs, greedy, implementation, math",time limit per test,memory limit per test,D2. Turtle and a MEX Problem (Hard Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Turtle and a MEX Problem (Easy Version),2003D1,"greedy, math",time limit per test,memory limit per test,D1. Turtle and a MEX Problem (Easy Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Turtle and Good Pairs,2003C,"constructive algorithms, greedy, sortings, strings",time limit per test,memory limit per test,C. Turtle and Good Pairstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Turtle and Piggy Are Playing a Game 2,2003B,"games, greedy, sortings",time limit per test,memory limit per test,B. Turtle and Piggy Are Playing a Game 2time limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Turtle and Good Strings,2003A,"greedy, strings",time limit per test,memory limit per test,A. Turtle and Good Stringstime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Counting 101,2002H,greedy,time limit per test,memory limit per test,H. Counting 101time limit per test10.1 secondsmemory limit per test1010 megabytesinputstandard inputoutputstandard output
Lattice Optimizing,2002G,"bitmasks, brute force, hashing, meet-in-the-middle",time limit per test,memory limit per test,G. Lattice Optimizingtime limit per test7 secondsmemory limit per test1024 megabytesinputstandard inputoutputstandard output
Court Blue (Hard Version),2002F2,"brute force, dp, math, number theory",time limit per test,memory limit per test,F2. Court Blue (Hard Version)time limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Court Blue (Easy Version),2002F1,"brute force, dfs and similar, dp, math, number theory",time limit per test,memory limit per test,F1. Court Blue (Easy Version)time limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Cosmic Rays,2002E,"brute force, data structures, dp",time limit per test,memory limit per test,E. Cosmic Raystime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
DFS Checker (Hard Version),2002D2,"binary search, data structures, dfs and similar, graphs, hashing, trees",time limit per test,memory limit per test,D2. DFS Checker (Hard Version)time limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
DFS Checker (Easy Version),2002D1,"brute force, data structures, dfs and similar, graphs, hashing, trees",time limit per test,memory limit per test,D1. DFS Checker (Easy Version)time limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Black Circles,2002C,"brute force, geometry, greedy, math",time limit per test,memory limit per test,C. Black Circlestime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Removals Game,2002B,"constructive algorithms, games",time limit per test,memory limit per test,B. Removals Gametime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Distanced Coloring,2002A,"constructive algorithms, implementation, math",time limit per test,memory limit per test,A. Distanced Coloringtime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Deterministic Heap (Hard Version),2001E2,"combinatorics, dp, trees",time limit per test,memory limit per test,E2. Deterministic Heap (Hard Version)time limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Deterministic Heap (Easy Version),2001E1,"combinatorics, dp, math, trees",time limit per test,memory limit per test,E1. Deterministic Heap (Easy Version)time limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Longest Max Min Subsequence,2001D,"brute force, constructive algorithms, data structures, greedy, implementation",time limit per test,memory limit per test,D. Longest Max Min Subsequencetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Guess The Tree,2001C,"binary search, brute force, dfs and similar, divide and conquer, dsu, greedy, interactive, trees",time limit per test,memory limit per test,C. Guess The Treetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Generate Permutation,2001B,constructive algorithms,time limit per test,memory limit per test,B. Generate Permutationtime limit per test1.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Make All Equal,2001A,"greedy, implementation",time limit per test,memory limit per test,A. Make All Equaltime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Ksyusha and the Loaded Set,2000H,"binary search, brute force, data structures, implementation",time limit per test,memory limit per test,H. Ksyusha and the Loaded Settime limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Call During the Journey,2000G,"binary search, brute force, graphs, greedy, shortest paths",time limit per test,memory limit per test,G. Call During the Journeytime limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Color Rows and Columns,2000F,"dp, greedy, implementation, math",time limit per test,memory limit per test,F. Color Rows and Columnstime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Photoshoot for Gorillas,2000E,"combinatorics, data structures, greedy, math",time limit per test,memory limit per test,E. Photoshoot for Gorillastime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Right Left Wrong,2000D,"greedy, implementation, two pointers",time limit per test,memory limit per test,D. Right Left Wrongtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Numeric String Template,2000C,"data structures, strings",time limit per test,memory limit per test,C. Numeric String Templatetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Seating in a Bus,2000B,two pointers,time limit per test,memory limit per test,B. Seating in a Bustime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Primary Task,2000A,"implementation, math, strings",time limit per test,memory limit per test,A. Primary Tasktime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Ruler (hard version),1999G2,"binary search, interactive, ternary search",time limit per test,memory limit per test,G2. Ruler (hard version)time limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Ruler (easy version),1999G1,"binary search, interactive",time limit per test,memory limit per test,G1. Ruler (easy version)time limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Expected Median,1999F,"combinatorics, math",time limit per test,memory limit per test,F. Expected Mediantime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Triple Operations,1999E,"dp, implementation, math",time limit per test,memory limit per test,E. Triple Operationstime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Slavic's Exam,1999D,"greedy, implementation, strings",time limit per test,memory limit per test,D. Slavic's Examtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Showering,1999C,"greedy, implementation",time limit per test,memory limit per test,C. Showeringtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Card Game,1999B,"brute force, constructive algorithms, implementation",time limit per test,memory limit per test,B. Card Gametime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
A+B Again?,1999A,"implementation, math",time limit per test,memory limit per test,A. A+B Again?time limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Eliminating Balls With Merging (Hard Version),1998E2,"binary search, brute force, data structures, divide and conquer, greedy, implementation",time limit per test,memory limit per test,E2. Eliminating Balls With Merging (Hard Version)time limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Eliminating Balls With Merging (Easy Version),1998E1,"binary search, brute force, data structures, divide and conquer, greedy",time limit per test,memory limit per test,E1. Eliminating Balls With Merging (Easy Version)time limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Determine Winning Islands in Race,1998D,"data structures, dp, graphs, greedy, shortest paths",time limit per test,memory limit per test,D. Determine Winning Islands in Racetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Perform Operations to Maximize Score,1998C,"binary search, brute force, constructive algorithms, greedy, implementation",time limit per test,memory limit per test,C. Perform Operations to Maximize Scoretime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Minimize Equal Sum Subarrays,1998B,"constructive algorithms, math, number theory",time limit per test,memory limit per test,B. Minimize Equal Sum Subarraystime limit per test1.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Find K Distinct Points with Fixed Center,1998A,"constructive algorithms, implementation, math",time limit per test,memory limit per test,A. Find K Distinct Points with Fixed Centertime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Chips on a Line,1997F,"brute force, combinatorics, dp, greedy, math",time limit per test,memory limit per test,F. Chips on a Linetime limit per test5 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Level Up,1997E,"binary search, brute force, data structures, divide and conquer, implementation",time limit per test,memory limit per test,E. Level Uptime limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Maximize the Root,1997D,"binary search, dfs and similar, dp, greedy, trees",time limit per test,memory limit per test,D. Maximize the Roottime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Even Positions,1997C,"constructive algorithms, data structures, greedy",time limit per test,memory limit per test,C. Even Positionstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Make Three Regions,1997B,"constructive algorithms, two pointers",time limit per test,memory limit per test,B. Make Three Regionstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Strong Password,1997A,"brute force, implementation, strings",time limit per test,memory limit per test,A. Strong Passwordtime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Penacony,1996G,"brute force, data structures, graphs, greedy, hashing",time limit per test,memory limit per test,G. Penaconytime limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Bomb,1996F,"binary search, greedy, math",time limit per test,memory limit per test,F. Bombtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Decode,1996E,"combinatorics, data structures, implementation, math",time limit per test,memory limit per test,E. Decodetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Fun,1996D,"binary search, brute force, combinatorics, math, number theory",time limit per test,memory limit per test,D. Funtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sort,1996C,"dp, greedy, sortings, strings",time limit per test,memory limit per test,C. Sorttime limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Scale,1996B,"greedy, implementation",time limit per test,memory limit per test,B. Scaletime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Legs,1996A,"binary search, math, ternary search",time limit per test,memory limit per test,A. Legstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Let Me Teach You a Lesson (Hard Version),1995E2,"data structures, dp, matrices, two pointers",time limit per test,memory limit per test,E2. Let Me Teach You a Lesson (Hard Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Let Me Teach You a Lesson (Easy Version),1995E1,"2-sat, data structures, dp, matrices, two pointers",time limit per test,memory limit per test,E1. Let Me Teach You a Lesson (Easy Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Cases,1995D,"bitmasks, brute force, dp, strings",time limit per test,memory limit per test,D. Casestime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Squaring,1995C,"brute force, constructive algorithms, greedy, implementation, math, number theory",time limit per test,memory limit per test,C. Squaringtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Bouquet (Hard Version),1995B2,"binary search, data structures, greedy, math, sortings, two pointers",time limit per test,memory limit per test,B2. Bouquet (Hard Version)time limit per test1.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Bouquet (Easy Version),1995B1,"binary search, brute force, greedy, sortings, two pointers",time limit per test,memory limit per test,B1. Bouquet (Easy Version)time limit per test1.5 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Diagonals,1995A,"brute force, greedy, implementation, math",time limit per test,memory limit per test,A. Diagonalstime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Fortnite,1994H,"combinatorics, constructive algorithms, games, greedy, hashing, interactive, math, number theory, strings",time limit per test,memory limit per test,H. Fortnitetime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Minecraft,1994G,"bitmasks, brute force, dp, graphs, math",time limit per test,memory limit per test,G. Minecrafttime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Stardew Valley,1994F,"constructive algorithms, dfs and similar, graphs, trees",time limit per test,memory limit per test,F. Stardew Valleytime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Wooden Game,1994E,"bitmasks, greedy, math, trees",time limit per test,memory limit per test,E. Wooden Gametime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Funny Game,1994D,"constructive algorithms, dsu, graphs, greedy, math, number theory, trees",time limit per test,memory limit per test,D. Funny Gametime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Hungry Games,1994C,"binary search, dp, two pointers",time limit per test,memory limit per test,C. Hungry Gamestime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Fun Game,1994B,"bitmasks, constructive algorithms, greedy, math",time limit per test,memory limit per test,B. Fun Gametime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Diverse Game,1994A,"constructive algorithms, greedy, implementation",time limit per test,memory limit per test,A. Diverse Gametime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Dyn-scripted Robot (Hard Version),1993F2,"chinese remainder theorem, math, number theory",time limit per test,memory limit per test,F2. Dyn-scripted Robot (Hard Version)time limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Dyn-scripted Robot (Easy Version),1993F1,"brute force, chinese remainder theorem, constructive algorithms, math, number theory",time limit per test,memory limit per test,F1. Dyn-scripted Robot (Easy Version)time limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Xor-Grid Problem,1993E,"bitmasks, constructive algorithms, dp, implementation",time limit per test,memory limit per test,E. Xor-Grid Problemtime limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Med-imize,1993D,"binary search, dp, greedy",time limit per test,memory limit per test,D. Med-imizetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Light Switches,1993C,"implementation, math",time limit per test,memory limit per test,C. Light Switchestime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Parity and Sum,1993B,"constructive algorithms, greedy",time limit per test,memory limit per test,B. Parity and Sumtime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Question Marks,1993A,"greedy, implementation",time limit per test,memory limit per test,A. Question Markstime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Ultra-Meow,1992G,"combinatorics, dp, math",time limit per test,memory limit per test,G. Ultra-Meowtime limit per test2.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Valuable Cards,1992F,"brute force, dp, greedy, number theory, two pointers",time limit per test,memory limit per test,F. Valuable Cardstime limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Novice's Mistake,1992E,"brute force, constructive algorithms, implementation, math, strings",time limit per test,memory limit per test,E. Novice's Mistaketime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Test of Love,1992D,"dp, greedy, implementation",time limit per test,memory limit per test,D. Test of Lovetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Gorilla and Permutation,1992C,"constructive algorithms, math",time limit per test,memory limit per test,C. Gorilla and Permutationtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Angry Monk,1992B,"greedy, math, sortings",time limit per test,memory limit per test,B. Angry Monktime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Only Pluses,1992A,"brute force, constructive algorithms, greedy, math, sortings",time limit per test,memory limit per test,A. Only Plusestime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Grid Game,1991I,"constructive algorithms, games, graph matchings, greedy, interactive",time limit per test,memory limit per test,I. Grid Gametime limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Prime Split Game,1991H,"bitmasks, dp, fft, games, math, number theory",time limit per test,memory limit per test,H. Prime Split Gametime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Grid Reset,1991G,"constructive algorithms, greedy, implementation",time limit per test,memory limit per test,G. Grid Resettime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Triangle Formation,1991F,"brute force, greedy, implementation, math, sortings",time limit per test,memory limit per test,F. Triangle Formationtime limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Coloring Game,1991E,"constructive algorithms, dfs and similar, games, graphs, greedy, interactive",time limit per test,memory limit per test,E. Coloring Gametime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Prime XOR Coloring,1991D,"bitmasks, constructive algorithms, graphs, greedy, math, number theory",time limit per test,memory limit per test,D. Prime XOR Coloringtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Absolute Zero,1991C,"constructive algorithms, greedy, math",time limit per test,memory limit per test,C. Absolute Zerotime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
AND Reconstruction,1991B,"bitmasks, constructive algorithms, greedy",time limit per test,memory limit per test,B. AND Reconstructiontime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Maximize the Last Element,1991A,"greedy, implementation",time limit per test,memory limit per test,A. Maximize the Last Elementtime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Polygonal Segments,1990F,"brute force, data structures, divide and conquer, dp, greedy, two pointers",time limit per test,memory limit per test,F. Polygonal Segmentstime limit per test8 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Catch the Mole(Hard Version),1990E2,"binary search, data structures, dfs and similar, divide and conquer, interactive, trees",time limit per test,memory limit per test,E2. Catch the Mole(Hard Version)time limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Catch the Mole(Easy Version),1990E1,"binary search, data structures, dfs and similar, interactive, trees",time limit per test,memory limit per test,E1. Catch the Mole(Easy Version)time limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Grid Puzzle,1990D,"bitmasks, brute force, dp, greedy, implementation",time limit per test,memory limit per test,D. Grid Puzzletime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Mad MAD Sum,1990C,"brute force, greedy, math",time limit per test,memory limit per test,C. Mad MAD Sumtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Array Craft,1990B,"constructive algorithms, greedy",time limit per test,memory limit per test,B. Array Crafttime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
